x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
0.00;1;2;3;1;0;4;0;0;6;8;6;2;4;2;2;2;0;2
0.03;3;1;1;1;3;3;2;2;2;6;6;6;4;0;2;2;0;2
0.06;1;1;1;1;1;1;0;8;4;6;2;2;0;4;2;2;0;2
0.09;1;0;0;0;2;0;6;4;0;4;2;2;2;2;2;0;0;2
0.12;0;1;0;0;0;0;8;4;2;2;6;4;0;2;2;2;2;0
0.15;0;0;0;0;0;0;6;0;0;4;4;4;0;0;2;2;2;2
0.18;1;1;0;1;1;0;0;2;2;2;2;0;6;2;0;2;2;6
0.21;1;1;1;1;0;1;4;2;4;4;6;4;0;0;0;4;8;6
0.24;1;1;3;1;3;1;4;2;2;2;2;4;0;0;0;4;2;2
0.27;4;2;3;6;0;5;4;4;2;2;4;0;0;2;4;4;2;4
0.30;2;2;7;4;4;4;0;4;4;2;4;2;2;4;4;4;6;4
0.33;6;10;8;10;9;6;8;4;2;2;4;2;2;4;4;2;4;8
0.36;4;5;10;8;9;7;0;6;2;0;2;2;2;2;2;2;2;2
0.39;9;15;9;8;11;8;4;2;2;0;4;6;4;4;2;0;2;4
0.42;7;13;16;10;13;10;4;0;4;6;6;2;6;6;0;0;4;4
0.45;15;15;18;13;13;11;8;4;6;2;6;2;0;6;2;4;2;2
0.48;11;14;17;14;14;21;0;6;0;2;8;4;4;8;4;6;2;4
0.51;13;14;13;17;14;17;0;0;8;4;8;4;6;4;2;4;2;4
0.54;11;14;15;16;13;19;2;2;4;0;0;2;4;2;2;2;0;0
0.57;22;13;17;14;21;16;4;4;6;2;6;2;2;2;2;6;4;4
0.60;20;21;13;16;22;13;4;4;4;2;4;0;2;4;0;4;0;0
0.63;18;13;12;15;17;13;0;0;6;2;4;4;4;2;4;4;0;6
0.66;14;10;13;14;19;19;6;4;2;0;0;0;8;4;8;0;6;4
0.69;16;18;15;11;13;13;2;4;4;4;4;2;2;2;4;2;2;2
0.72;10;9;12;13;12;13;2;4;2;6;2;0;4;2;0;2;2;2
0.75;9;10;7;7;14;8;6;2;4;2;6;0;0;2;4;0;4;4
0.78;6;4;8;6;9;8;0;2;2;2;2;0;2;4;2;4;6;4
0.81;5;3;8;8;6;4;0;2;2;0;0;4;0;0;4;2;6;2
0.84;4;7;4;5;7;4;2;4;2;2;2;2;2;6;2;0;8;2
0.87;3;5;6;4;3;4;2;4;0;0;0;2;4;6;2;4;6;4
0.90;4;1;1;5;3;1;2;2;4;2;0;0;0;4;2;6;6;6
0.93;2;1;2;1;0;1;2;0;0;4;2;0;2;4;6;0;2;2
0.96;1;1;0;2;2;1;2;0;4;2;0;4;6;6;4;0;2;4
0.99;1;0;0;0;0;0;2;2;2;2;0;2;6;2;6;2;2;4
1.02;0;1;1;1;0;1;0;2;2;2;4;4;2;6;2;4;6;2
1.05;2;2;1;2;1;2;0;2;2;0;0;2;0;0;8;4;8;6
1.08;1;1;2;3;3;1;2;0;4;0;0;0;2;4;4;2;0;2
1.11;1;0;2;0;0;2;0;0;2;0;0;4;2;2;0;4;4;2
1.14;2;1;1;3;2;3;0;0;0;0;0;0;6;0;2;2;2;0
1.17;2;3;1;7;5;2;0;0;0;0;0;0;0;2;4;2;2;6
1.20;5;1;4;3;5;4;0;0;0;0;0;0;6;4;0;8;6;4
1.23;2;2;6;2;1;5;0;0;0;0;0;0;4;2;6;4;8;2
1.26;5;6;5;7;5;5;0;0;0;0;0;0;4;6;8;6;8;2
1.29;1;3;8;7;2;8;0;0;0;0;0;0;0;4;4;2;6;2
1.32;6;6;8;8;5;4;0;0;0;0;0;0;6;4;6;2;0;8
1.35;5;1;5;5;2;4;0;0;0;0;0;0;6;4;6;2;4;2
1.38;3;1;4;3;7;1;0;0;0;0;0;0;2;2;2;0;4;6
1.41;4;3;4;3;2;4;0;0;0;0;0;0;4;4;6;6;4;6
1.44;5;3;1;1;2;4;0;0;0;0;0;0;4;2;4;2;4;2
1.47;3;4;3;6;3;2;0;0;0;0;0;0;0;0;2;2;2;2
1.50;1;0;1;4;0;3;0;0;0;0;0;0;2;2;4;2;2;0
1.53;1;0;1;1;1;2;0;0;0;0;0;0;2;2;2;0;2;2
1.56;2;2;2;2;0;1;0;0;0;0;0;0;2;2;4;2;0;2
1.59;0;0;1;3;3;2;0;0;0;0;0;0;2;2;0;2;0;4
1.62;0;1;1;0;3;1;0;0;0;0;0;0;2;2;0;0;2;4
1.65;0;2;2;0;1;1;0;0;0;0;0;0;2;2;2;0;0;2
1.68;2;2;4;3;1;3;0;0;0;0;0;0;0;0;0;0;0;2
1.71;3;1;2;1;1;0;0;0;0;0;0;0;2;2;4;2;0;2
1.74;3;3;4;1;3;0;0;0;0;0;0;0;0;2;2;0;0;2
1.77;4;3;3;0;1;5;0;0;0;0;0;0;2;2;0;2;4;2
1.80;5;3;2;2;4;6;0;2;0;4;0;0;0;0;4;2;2;0
1.83;5;6;5;1;1;3;0;2;2;2;0;2;2;0;2;2;2;2
