x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
0.00;8;6;8;14;4;10;10;8;2;2;10;8;0;0;0;0;0;0
0.02;8;10;6;6;8;12;4;4;4;4;8;8;0;0;0;0;0;0
0.04;4;10;10;12;8;2;8;2;6;6;6;4;0;0;0;0;0;0
0.06;12;10;4;2;6;6;6;8;0;8;2;12;0;0;0;0;0;0
0.08;6;10;10;2;4;8;0;6;12;4;2;8;0;0;0;0;0;0
0.10;10;6;6;12;2;14;14;6;8;10;10;10;0;0;0;0;0;0
0.12;6;0;12;8;10;10;2;2;6;14;4;8;0;0;0;0;0;0
0.14;4;6;12;12;6;2;12;12;6;0;4;6;0;0;0;0;0;0
0.16;10;14;14;4;12;12;4;4;8;6;6;6;0;0;0;0;0;0
0.18;10;10;4;8;8;6;6;14;8;6;8;4;0;0;0;0;0;0
0.20;6;0;6;10;4;0;8;8;14;12;8;8;0;0;0;0;0;0
0.22;8;4;6;6;6;4;16;4;10;6;12;10;0;0;0;0;0;0
0.24;8;14;6;10;10;8;10;10;10;8;8;8;0;0;0;0;0;0
0.26;8;12;14;4;12;10;8;14;10;10;20;2;0;0;0;0;0;0
0.28;18;10;6;16;14;8;2;10;10;16;18;10;0;0;0;0;0;0
0.30;8;10;12;2;4;6;10;14;8;16;14;6;0;0;0;0;0;0
0.32;14;12;8;14;6;14;8;8;12;12;18;6;0;0;0;0;0;0
0.34;22;14;12;16;12;14;6;12;16;14;22;22;0;0;0;0;0;0
0.36;8;16;6;10;16;18;20;14;12;10;14;8;0;0;0;0;0;0
0.38;6;14;12;12;14;12;14;16;10;8;14;12;0;0;0;0;0;0
0.40;14;20;6;20;8;8;18;10;20;8;22;16;0;0;0;0;0;0
0.42;14;20;10;22;14;18;10;20;20;8;6;6;0;0;0;0;0;0
0.44;14;18;10;14;12;16;16;24;16;24;16;10;0;0;0;0;0;0
0.46;14;6;12;18;16;12;20;18;18;12;18;14;0;0;0;0;0;0
0.48;14;10;16;14;14;20;12;20;24;14;20;20;0;0;0;0;0;0
0.50;18;12;16;24;18;14;12;12;26;18;18;22;0;0;0;0;0;0
0.52;12;14;10;14;12;22;20;20;22;22;22;22;0;0;0;0;0;0
0.54;20;16;6;14;6;14;18;14;20;18;14;26;0;0;0;0;0;0
0.56;12;16;18;4;4;14;28;24;22;20;12;24;0;0;0;0;0;0
0.58;12;10;18;8;6;14;22;10;22;16;30;16;0;0;0;0;0;0
0.60;14;8;10;22;14;8;30;32;30;22;28;36;0;0;2;0;0;2
0.62;10;16;12;20;10;14;22;24;28;26;12;16;0;2;2;0;2;0
0.64;14;22;16;16;12;6;16;20;32;28;18;18;2;0;4;2;0;4
0.66;16;16;12;22;12;18;28;22;24;16;28;16;2;4;2;0;0;4
0.68;22;18;20;12;16;12;24;34;12;18;20;24;4;2;2;0;2;2
0.70;18;12;26;24;18;24;28;26;26;16;30;38;0;2;4;0;0;2
0.72;28;28;36;20;28;22;26;28;30;30;28;36;2;2;2;0;0;2
0.74;24;28;22;36;30;22;26;30;26;30;20;28;2;0;4;4;0;0
0.76;46;36;34;28;26;32;38;28;24;24;20;30;2;2;4;2;2;2
0.78;38;46;36;38;46;48;26;32;32;24;38;38;0;0;2;0;2;2
0.80;36;58;54;38;56;46;34;30;28;22;40;26;4;6;4;4;4;0
0.82;44;48;48;44;54;34;22;18;30;34;34;42;2;0;2;6;4;6
0.84;48;50;38;58;38;50;36;32;38;28;32;32;2;4;2;8;4;0
0.86;50;64;58;50;52;54;46;30;42;22;48;28;4;0;4;2;2;0
0.88;80;74;64;60;68;58;44;24;22;24;26;38;6;4;2;2;4;2
0.90;76;82;72;60;70;70;38;34;42;34;42;36;8;4;2;4;2;8
0.92;68;64;76;76;62;70;22;36;38;40;24;42;8;2;2;6;4;10
0.94;56;52;70;60;68;60;36;36;40;52;38;42;2;6;8;2;6;2
0.96;74;74;70;68;62;58;44;36;50;46;40;44;6;4;8;8;6;4
0.98;80;78;74;70;84;98;28;42;40;46;40;36;0;10;2;4;0;4
1.00;66;78;84;84;80;78;38;42;40;50;54;44;2;4;4;0;4;4
1.02;70;78;88;86;66;86;42;34;50;54;36;50;10;10;10;4;12;8
1.04;64;84;68;58;84;78;42;38;52;26;34;44;8;10;0;10;6;6
1.06;72;50;76;66;44;74;34;50;40;52;42;56;2;6;6;6;6;12
1.08;74;60;50;82;58;60;54;48;46;56;54;32;4;8;10;6;14;12
1.10;52;52;68;62;56;64;48;30;42;44;50;48;12;16;4;6;6;8
1.12;44;58;42;50;60;62;48;44;36;56;48;40;6;6;16;10;8;12
1.14;40;40;44;28;46;32;40;52;48;50;52;54;4;10;0;12;12;2
1.16;30;28;48;42;40;38;64;42;50;52;60;64;14;10;6;12;16;8
1.18;36;40;30;28;24;30;52;66;44;40;48;48;8;14;16;16;12;12
1.20;22;24;32;30;26;26;50;50;46;64;46;50;16;8;16;4;10;6
1.22;18;22;16;20;14;20;56;52;54;52;50;64;14;18;18;10;2;14
1.24;26;14;12;18;14;16;54;68;60;54;64;52;22;18;20;8;14;10
1.26;16;16;18;18;16;6;68;52;68;66;36;70;18;12;14;14;16;16
1.28;12;16;12;14;12;12;46;44;38;46;50;68;4;14;4;10;12;10
1.30;14;8;24;12;14;12;66;48;50;40;72;62;22;10;12;8;20;16
1.32;26;20;10;12;20;12;62;72;50;54;58;52;12;16;8;20;18;8
1.34;36;28;30;12;16;18;56;62;44;62;66;80;14;8;20;18;18;16
1.36;40;30;36;32;26;28;76;60;54;68;54;62;16;26;16;18;14;12
1.38;50;40;44;34;40;50;40;52;48;58;62;72;12;28;16;22;14;12
1.40;62;50;54;70;52;52;62;58;64;52;66;66;14;8;16;22;12;18
1.42;78;60;48;86;74;82;60;64;60;76;52;56;18;22;16;8;20;18
1.44;64;60;78;72;74;86;66;76;66;76;48;50;24;26;16;18;26;24
1.46;104;86;94;98;86;78;58;72;60;52;78;62;18;22;24;20;28;26
1.48;100;106;94;114;122;88;52;64;82;60;62;48;14;28;32;18;18;12
1.50;118;120;146;126;124;110;58;58;80;58;58;56;20;20;26;24;28;26
1.52;168;126;130;150;142;150;60;50;78;54;62;82;18;20;28;24;22;32
1.54;160;172;168;142;162;154;64;68;80;80;72;72;18;22;18;24;24;30
1.56;178;186;178;162;154;176;84;88;68;82;72;82;28;34;12;20;20;38
1.58;174;164;178;160;196;182;70;74;62;78;78;70;26;26;20;26;26;22
1.60;206;174;184;192;204;180;58;76;80;86;64;72;24;26;28;24;24;24
1.62;184;174;184;170;194;182;68;62;90;56;70;68;34;30;28;30;24;34
1.64;184;180;192;190;202;202;96;74;70;80;78;86;38;20;30;26;30;20
1.66;176;208;202;200;212;172;72;72;96;56;72;70;32;22;28;32;22;28
1.68;194;180;172;212;188;172;60;88;80;72;76;76;28;28;34;20;28;24
1.70;172;174;178;210;202;192;86;66;80;70;88;70;30;36;26;20;20;30
1.72;138;182;160;172;174;178;92;100;92;66;88;80;18;32;28;26;32;22
1.74;150;168;174;136;140;176;102;96;78;98;74;84;24;24;44;36;40;28
1.76;134;166;132;150;154;148;96;76;74;92;58;74;36;48;46;30;28;32
1.78;128;124;142;134;126;126;86;78;100;86;88;74;24;34;34;36;42;36
1.80;110;112;116;98;102;108;80;78;86;78;86;70;44;32;24;46;44;50
1.82;88;92;114;70;94;88;94;94;86;78;74;82;32;40;40;36;48;34
1.84;74;82;82;82;78;80;76;72;80;76;86;70;42;34;26;50;46;30
1.86;40;52;58;48;66;76;90;84;64;88;92;80;38;42;48;34;36;40
1.88;42;36;32;46;46;56;92;80;74;88;92;84;36;42;34;44;34;50
1.90;18;26;18;28;40;20;68;94;78;76;80;102;44;56;46;52;44;46
1.92;20;24;20;10;18;20;96;98;74;94;86;90;48;42;42;52;42;34
1.94;12;12;14;16;6;6;110;62;94;94;88;88;58;28;38;38;48;42
1.96;2;6;6;8;12;10;88;94;90;112;94;106;40;52;34;38;40;44
1.98;2;12;6;12;6;6;92;86;106;108;72;106;40;42;48;48;34;60
2.00;4;14;10;12;14;10;82;102;88;72;84;82;50;42;42;38;58;38
2.02;12;30;14;22;24;16;90;98;80;100;90;106;46;54;34;64;60;56
2.04;26;34;30;40;44;42;68;82;78;84;92;96;52;48;54;52;40;38
2.06;48;48;68;54;50;60;92;92;84;84;66;76;50;52;48;60;50;50
2.08;74;66;70;62;74;88;80;92;100;90;86;94;48;44;40;62;46;40
2.10;98;90;92;114;76;104;96;90;94;74;84;84;56;54;42;48;54;38
2.12;126;104;104;102;134;112;82;84;82;104;76;92;56;66;58;58;38;44
2.14;142;164;160;128;122;158;90;86;108;94;78;98;62;66;50;50;58;52
2.16;162;182;176;158;206;192;86;108;98;108;104;108;44;62;48;56;56;68
2.18;190;236;188;210;180;226;100;114;118;118;96;74;58;44;44;58;64;46
2.20;218;262;260;238;212;198;78;96;90;106;96;84;50;42;58;48;74;68
2.22;274;256;240;264;294;252;106;104;94;76;114;96;66;66;66;56;40;60
2.24;286;302;302;246;280;294;116;102;86;94;96;108;58;42;62;66;76;64
2.26;312;290;304;284;302;288;96;114;104;90;112;120;74;60;54;50;58;46
2.28;296;344;296;296;318;342;112;106;110;84;120;90;44;72;40;52;54;58
2.30;294;340;302;296;300;298;92;96;100;100;88;84;44;52;42;80;58;54
2.32;308;320;288;368;318;312;122;100;76;88;98;100;84;44;62;62;56;48
2.34;332;342;314;326;324;322;112;90;88;92;76;112;70;54;62;48;52;66
2.36;314;332;302;300;326;298;80;106;82;108;110;104;52;62;54;72;72;56
2.38;278;298;278;326;320;276;102;94;100;108;96;114;76;70;78;66;60;56
2.40;294;302;264;300;264;308;112;102;98;108;94;114;54;56;56;78;62;70
2.42;256;264;268;276;256;268;106;86;90;76;100;78;66;66;66;72;66;68
2.44;234;232;222;232;218;244;86;100;108;92;98;90;62;70;62;80;70;80
2.46;220;192;196;210;216;216;92;84;88;102;96;98;64;66;50;62;68;70
2.48;196;180;202;196;180;176;94;90;102;98;96;86;66;66;74;50;80;86
2.50;138;136;158;156;140;166;114;90;98;98;110;94;64;70;74;96;90;84
2.52;124;110;106;102;104;130;98;110;122;82;88;100;80;58;78;64;80;74
2.54;80;96;104;84;94;86;78;102;96;98;82;102;66;72;80;70;56;80
