x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
0.67;50;28;30;44;50;38;24;30;24;18;22;18;2;2;0;2;0;4
0.68;34;52;30;40;56;28;18;28;22;36;36;28;2;2;0;2;2;0
0.69;46;40;42;42;36;32;28;12;24;28;26;24;2;0;0;0;2;0
0.70;34;26;48;52;50;36;22;16;38;24;24;16;2;2;4;2;2;0
0.71;44;30;28;46;30;44;20;28;22;24;26;22;4;2;2;0;0;2
0.72;52;46;38;40;38;54;34;26;26;18;16;22;2;0;0;2;0;0
0.73;42;40;38;32;54;38;16;24;36;22;20;26;4;0;0;0;0;2
0.74;28;50;48;58;52;54;30;28;24;26;20;34;6;6;6;8;2;2
0.75;50;44;46;44;52;46;16;26;18;30;14;32;0;2;4;2;2;2
0.76;46;38;36;32;46;38;28;34;28;28;20;36;6;6;6;4;4;6
0.77;46;48;62;38;58;48;26;26;36;42;22;18;4;4;4;4;6;4
0.78;48;48;44;44;60;52;26;18;32;32;26;24;6;2;0;6;2;0
0.79;48;46;48;42;48;42;32;34;24;30;34;28;4;6;2;8;6;0
0.80;38;46;40;44;42;28;32;22;28;26;38;28;2;4;4;0;0;6
0.81;46;46;48;46;52;48;28;20;40;20;42;34;4;0;2;2;4;0
0.82;44;46;42;48;34;32;20;34;32;20;28;30;2;2;4;4;2;2
0.83;44;32;32;32;38;50;40;36;22;26;22;18;2;2;4;0;2;4
0.84;46;36;32;30;36;46;38;20;30;26;40;26;6;2;2;0;2;2
0.85;32;42;38;40;42;44;42;26;42;30;40;28;2;2;4;2;4;2
0.86;32;48;36;34;36;44;20;24;30;30;26;34;2;0;8;2;6;4
0.87;38;30;22;30;28;32;24;32;24;28;50;32;0;2;8;2;6;6
0.88;44;40;32;26;30;30;38;34;36;20;34;24;6;6;2;4;2;0
0.89;22;30;34;32;38;30;18;28;34;34;38;30;8;0;8;10;10;10
0.90;32;30;44;42;30;26;38;38;28;28;40;32;4;0;2;2;8;6
0.91;26;28;30;28;16;28;40;36;40;38;38;40;6;2;8;4;8;8
0.92;34;28;38;34;24;24;22;36;26;30;36;40;8;10;4;8;6;4
0.93;24;20;30;32;14;26;32;28;40;42;34;24;12;2;6;2;2;2
0.94;32;30;38;12;36;26;40;30;34;42;30;26;6;8;10;4;8;2
0.95;26;30;18;22;24;22;28;38;42;42;34;38;10;8;6;6;2;6
0.96;26;14;14;20;26;16;50;34;46;38;36;24;6;6;10;0;12;8
0.97;16;24;22;22;18;22;28;28;38;32;42;46;8;6;8;4;10;2
0.98;26;12;6;22;24;8;44;32;36;24;36;40;6;8;4;6;6;6
0.99;14;18;20;12;18;24;34;38;36;54;44;56;12;2;14;12;8;6
1.00;8;20;10;10;8;6;52;42;26;40;38;34;10;12;4;10;10;4
1.01;14;10;14;18;12;10;24;36;24;52;42;40;10;6;4;14;10;4
1.02;18;18;12;22;14;6;32;44;38;40;30;36;8;6;8;0;6;12
1.03;18;10;12;6;8;16;58;36;36;52;52;38;10;10;10;2;10;12
1.04;6;8;12;14;4;16;38;48;36;44;34;46;10;10;6;8;8;6
1.05;14;8;12;16;6;10;52;26;44;46;50;36;8;8;4;16;10;12
1.06;8;8;8;8;16;4;56;44;36;52;46;38;16;8;8;8;4;6
1.07;8;14;8;2;10;2;38;46;46;32;38;38;12;2;12;4;8;4
1.08;14;12;14;10;16;16;42;28;40;50;52;46;8;14;12;14;8;14
1.09;12;22;12;14;16;10;52;36;44;44;56;32;6;6;6;6;12;14
1.10;18;16;14;16;18;10;42;44;54;42;42;36;2;12;6;4;6;12
1.11;14;8;6;8;16;14;60;56;48;32;40;56;14;12;8;12;6;14
1.12;14;14;18;16;10;22;48;48;50;38;40;44;10;8;10;12;6;14
1.13;22;14;20;16;24;18;56;54;40;38;40;46;16;6;16;6;14;10
1.14;30;28;26;24;24;22;32;60;44;52;40;38;10;6;14;4;12;16
1.15;22;34;14;28;32;26;46;58;38;38;62;40;14;6;8;12;18;12
1.16;24;22;24;24;26;22;50;30;52;42;50;32;18;8;4;10;6;14
1.17;30;32;26;36;42;30;44;56;46;32;46;44;14;10;14;6;18;10
1.18;26;28;22;34;38;44;44;56;54;52;50;50;6;12;12;14;8;14
1.19;36;28;30;28;38;44;58;62;60;52;58;40;10;12;10;10;20;16
1.20;52;50;58;26;46;36;48;60;52;44;46;54;10;18;12;14;14;12
1.21;52;56;42;50;46;42;54;36;54;48;40;60;20;14;4;16;10;22
1.22;52;40;38;56;44;42;56;52;52;42;62;46;14;10;14;10;4;16
1.23;42;52;64;60;62;54;48;46;42;50;50;54;18;20;14;6;14;18
1.24;44;66;70;82;74;70;42;54;48;60;36;44;14;18;8;14;10;10
1.25;64;72;60;70;68;54;48;46;40;58;60;62;12;16;12;12;12;24
1.26;54;72;64;66;86;86;64;54;44;44;54;46;20;10;6;18;14;18
1.27;72;90;86;68;60;84;52;52;44;42;44;38;18;20;16;24;8;12
1.28;100;88;82;68;82;62;66;46;48;54;60;48;14;22;12;6;12;14
1.29;84;88;82;104;98;100;44;70;60;48;58;66;20;18;16;16;10;12
1.30;86;92;104;94;100;106;52;58;58;54;46;62;8;6;18;14;8;8
1.31;104;80;120;92;100;98;50;52;74;62;48;42;18;16;22;18;18;6
1.32;120;120;108;92;96;96;46;50;60;38;66;56;20;14;18;12;20;18
1.33;106;108;108;88;104;96;42;68;52;58;68;50;6;16;12;18;6;16
1.34;110;112;98;108;130;104;44;42;52;48;68;58;14;18;16;16;16;22
1.35;104;142;112;118;120;124;56;72;50;60;72;50;10;10;10;10;14;24
1.36;150;140;132;142;124;130;52;54;42;76;70;54;20;18;24;22;28;22
1.37;148;150;132;124;158;134;54;60;70;74;66;56;20;20;26;10;24;26
